cmname,date,price
Rice (imported) - Retail,2000,225.309025
Rice (imported) - Retail,2001,210.22800833333332
Rice (imported) - Retail,2002,203.43674545454544
Rice (imported) - Retail,2003,196.777775
Rice (imported) - Retail,2004,218.15393333333336
Rice (imported) - Retail,2005,226.923075
Rice (imported) - Retail,2006,225.0
Rice (imported) - Retail,2007,235.65122289377288
Rice (imported) - Retail,2008,339.98009803063457
Rice (imported) - Retail,2009,306.60532235528945
Rice (imported) - Retail,2010,277.6924558232933
Rice (imported) - Retail,2011,302.13383808593744
Rice (imported) - Retail,2012,311.53830000000005
Rice (imported) - Retail,2013,290.3601187969925
Rice (imported) - Retail,2014,283.42765932539686
Rice (imported) - Retail,2015,285.21548336755643
Rice (imported) - Retail,2016,278.0894608455883
Rice (imported) - Retail,2017,288.71043165467626
Rice (imported) - Retail,2018,292.09362549800795
Rice (imported) - Retail,2019,300.4115714003945
Rice (imported) - Retail,2020,313.35943734939764
